sample	unit	platform	fq1	fq2
D2_F2_1	D2_F2_1_orZ	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_1/D2_F2_1_NKD180900418-AK9770-AK9810_H7NHLDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_1/D2_F2_1_NKD180900418-AK9770-AK9810_H7NHLDSXX_L1_2.fq.gz
D2_F2_1	D2_F2_1_9fC	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-9fC5qAZT/D2_F2_1/D2_F2_1_NKD180900418-D2_F2_1_H7LYHDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-9fC5qAZT/D2_F2_1/D2_F2_1_NKD180900418-D2_F2_1_H7LYHDSXX_L1_2.fq.gz
D2_F2_7	D2_F2_7_vvO	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-vvOUY67l/D2_F2_7/D2_F2_7_NKD180900418-D2_F2_7_H7LYHDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-vvOUY67l/D2_F2_7/D2_F2_7_NKD180900418-D2_F2_7_H7LYHDSXX_L1_2.fq.gz
D2_F2_7	D2_F2_7_orZ	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_7/D2_F2_7_NKD180900418-AK9770-AK9815_H7NHLDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_7/D2_F2_7_NKD180900418-AK9770-AK9815_H7NHLDSXX_L1_2.fq.gz
D2_F2_11	D2_F2_11_orZ	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_11/D2_F2_11_NKD180900418-AK9778-AK9812_H7NHLDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_11/D2_F2_11_NKD180900418-AK9778-AK9812_H7NHLDSXX_L1_2.fq.gz
D2_F2_11	D2_F2_11_9fC	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-9fC5qAZT/D2_F2_11/D2_F2_11_NKD180900418-D2_F2_11_H7LYHDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-9fC5qAZT/D2_F2_11/D2_F2_11_NKD180900418-D2_F2_11_H7LYHDSXX_L1_2.fq.gz
D2_F2_12	D2_F2_12_orZ	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_12/D2_F2_12_NKD180900418-AK9778-AK9813_H7NHLDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_12/D2_F2_12_NKD180900418-AK9778-AK9813_H7NHLDSXX_L1_2.fq.gz
D2_F2_12	D2_F2_12_9fC	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-9fC5qAZT/D2_F2_12/D2_F2_12_NKD180900418-D2_F2_12_H7LYHDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-9fC5qAZT/D2_F2_12/D2_F2_12_NKD180900418-D2_F2_12_H7LYHDSXX_L1_2.fq.gz
D2_F2_15	D2_F2_15_orZ	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_15/D2_F2_15_NKD180900418-AK9778-AK9815_H7NHLDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_15/D2_F2_15_NKD180900418-AK9778-AK9815_H7NHLDSXX_L1_2.fq.gz
D2_F2_15	D2_F2_15_9fC	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-9fC5qAZT/D2_F2_15/D2_F2_15_NKD180900418-D2_F2_15_H7LYHDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-9fC5qAZT/D2_F2_15/D2_F2_15_NKD180900418-D2_F2_15_H7LYHDSXX_L1_2.fq.gz
